#,After Over Runs,Ball Number,Batsman Changed,Batsman Score,Deliveries Faced,Boundries,Extra Type,Innings,Is Free Hit,Runs Conceded,Outcome of Delivery,OutcomeCategory,Over Number,Partnership,Partnership Deliveries,PartnershipStage,Partneship Runs,Power Play,Previous Over Runs,Stage,Runs in the over,Wicket in the Same Over,Wickets,Gendar,Type,Outcome of Delivery - PLS,Batsman - Boundries - Cat,Batsman - Deliveries Faced - Cat,Batsman - Score - CAT,Batsman - Strike Rate,Batsman Strike Rate - Cat,Bolwer - Runs Conceded- Cat,Bowler - Economy,Bowler - Economy - Cat,Bowler - Wickets-Cat,Bowler Overs,Partnership Deliveries - Cat,Partnership Runs - Cat,Partnership Strike Rate,Partnership Strike Rate - Cat,Previous Over Runs - Cat,Runs in the Over - Cat
322,9,5,"",28,21,5,Wide,1,"",14,1,Less Impact,17,61,,MiddleOrder,43,No,15,EndOvers,6,No,0,Female,Franchaise,1,Medium,Medium,Middle,133.3333333,Medium,Medium,7,Medium,No Wickets,2,,Medium,,,High,Low
323,12,4,"",4,2,1,Wide,2,"",6,4,High Impact,3,2,6,Frontline,6,Yes,10,PowerPlay,2,No,1,Female,Franchaise,4,Low,Low,Low,200,High,Low,3,Low,Low,2,Low,Low,100,Low,Medium,Low
324,7,5,"",13,11,2,Wide,2,"",15,1,Less Impact,9,5,12,Tailend,18,No,3,MiddleOvers,15,No,0,Female,Franchaise,1,Medium,Medium,Low,118.1818182,Medium,Medium,15,High,No Wickets,1,Low,Low,150,Medium,Low,High
325,3,1,"",34,27,5,Wide,2,"",16,1,Less Impact,13,6,11,Tailend,14,No,1,MiddleOvers,13,No,1,Female,Franchaise,1,Medium,Medium,Middle,125.9259259,Medium,Medium,8,Medium,Low,2,Low,Low,127.2727273,Medium,Low,High
326,7,6,"",4,5,0,Wide,2,"",26,1,Less Impact,17,9,14,MiddleOrder,27,No,10,EndOvers,12,No,1,Female,Franchaise,1,Low,Low,Low,80,Low,Medium,8.666666667,Medium,Low,3,Low,Low,192.8571429,High,Medium,High
327,11,6,"",12,5,3,Wide,1,"",13,2,Medium Impact,2,1,11,Frontline,25,Yes,12,PowerPlay,13,No,0,Male,Franchaise,2,Medium,Low,Low,240,High,Medium,13,High,No Wickets,1,Low,Low,227.2727273,High,High,High
328,11,1,"",19,8,4,Wide,1,"",10,1,Less Impact,4,1,23,Frontline,52,Yes,11,PowerPlay,14,No,0,Male,Franchaise,1,Medium,Low,Low,237.5,High,Low,10,Medium,No Wickets,1,Low,Medium,226.0869565,High,High,High
329,13,3,"",45,23,9,Wide,1,"",9,0,No Impact,9,2,38,Frontline,70,No,8,MiddleOvers,9,No,0,Male,Franchaise,0,High,Medium,Middle,195.6521739,High,Low,9,Medium,No Wickets,1,Medium,Medium,184.2105263,High,Medium,Medium
330,3,6,"",14,8,3,Wide,2,"",15,1,Less Impact,4,2,12,Frontline,23,Yes,11,PowerPlay,12,No,1,Male,Franchaise,1,Medium,Low,Low,175,Medium,Medium,7.5,Medium,Low,2,Low,Low,191.6666667,High,High,High
331,10,5,"",14,19,2,Wide,2,"",23,4,High Impact,7,3,18,Frontline,12,No,9,MiddleOvers,4,No,0,Male,Franchaise,4,Medium,Medium,Low,73.68421053,Low,Medium,7.666666667,Medium,No Wickets,3,Low,Low,66.66666667,Low,Medium,Low
332,8,5,"",14,7,2,Wide,2,"",13,2,Medium Impact,11,4,14,Tailend,25,No,8,MiddleOvers,13,No,0,Male,Franchaise,2,Medium,Low,Low,200,High,Medium,13,High,No Wickets,1,Low,Low,178.5714286,High,Medium,High
333,8,1,"",17,10,2,Wide,2,"",29,1,Less Impact,17,6,4,Tailend,7,No,12,EndOvers,8,Yes,1,Male,Franchaise,1,Medium,Low,Low,170,Medium,Medium,9.66666667,Medium,Low,3,Low,Low,175,Medium,High,Medium
334,13,5,"",5,8,0,Wide,1,"",5,0,No Impact,3,1,17,Frontline,11,Yes,2,PowerPlay,5,No,0,Female,Franchaise,0,Low,Low,Low,62.5,Low,Low,5,Low,No Wickets,1,Low,Low,64.70588235,Low,Low,Low
335,11,1,"",1,2,0,Wide,1,"",14,1,Less Impact,14,6,3,Tailend,2,No,6,MiddleOvers,3,Yes,1,Female,Franchaise,1,Low,Low,Low,50,Low,Medium,7,Medium,Low,2,Low,Low,66.66666667,Low,Low,Low
336,4,2,"",0,0,0,Wide,1,"",23,1,Less Impact,18,9,0,MiddleOrder,0,No,5,EndOvers,8,Yes,2,Female,Franchaise,1,Low,Low,Low,NaN,Low,Medium,7.666666667,Medium,Low,3,Low,Low,NaN,Low,Low,Medium
337,5,5,"",0,4,0,Wide,2,"",1,0,No Impact,2,2,4,Frontline,1,Yes,1,PowerPlay,1,Yes,1,Female,Franchaise,0,Low,Low,Low,0,Low,Low,1,Low,Low,1,Low,Low,25,Low,Low,Low
338,4,2,"",19,16,3,Wide,2,"",24,0,No Impact,13,5,6,Tailend,11,No,6,MiddleOvers,10,No,1,Female,Franchaise,0,Medium,Medium,Low,118.75,Medium,Medium,6,Low,Low,4,Low,Low,183.3333333,High,Low,Medium
339,10,4,"",8,5,2,Wide,1,"",9,2,Medium Impact,1,1,5,Frontline,9,Yes,,PowerPlay,9,No,0,Female,Franchaise,2,Medium,Low,Low,160,Medium,Low,9,Medium,No Wickets,1,Low,Low,180,High,,Medium
340,,2,"",12,5,2,Wide,1,"",49,4,High Impact,20,5,7,Tailend,23,No,10,EndOvers,18,No,0,Female,Franchaise,4,Medium,Low,Low,240,High,High,12.25,High,No Wickets,4,Low,Low,328.5714286,High,Medium,High
341,24,6,"",0,2,0,Wide,2,"",7,1,Less Impact,1,1,5,Frontline,12,Yes,,PowerPlay,12,No,0,Female,Franchaise,1,Low,Low,Low,0,Low,Low,7,Medium,No Wickets,1,Low,Low,240,High,,High
342,11,4,"",26,10,5,No,2,"",17,1,Less Impact,4,1,23,Frontline,56,Yes,2,PowerPlay,17,No,0,Female,Franchaise,1,Medium,Low,Middle,260,High,Medium,17,High,No Wickets,1,Low,Medium,243.4782609,High,Low,High
343,9,2,"",28,12,6,Wide,2,"",9,4,High Impact,5,1,29,Frontline,64,Yes,18,PowerPlay,7,No,0,Female,Franchaise,4,High,Medium,Middle,233.3333333,High,Low,4.5,Low,No Wickets,2,Low,Medium,220.6896552,High,High,Medium
344,6,1,"",72,25,13,Wide,2,"",37,6,High Impact,9,1,53,Frontline,125,No,10,MiddleOvers,19,No,0,Female,Franchaise,6,High,Medium,High,288,High,High,18.5,High,No Wickets,2,High,High,235.8490566,High,Medium,High
345,8,2,"",6,4,1,Wide,2,"",14,4,High Impact,11,2,8,Frontline,20,No,6,MiddleOvers,14,No,0,Female,Franchaise,4,Low,Low,Low,150,Medium,Medium,14,High,No Wickets,1,Low,Low,250,High,Low,High
346,8,3,"",17,20,2,Wide,1,"",7,1,Less Impact,7,2,11,Frontline,13,No,5,MiddleOvers,7,No,0,Male,Franchaise,1,Medium,Medium,Low,85,Low,Low,7,Medium,No Wickets,1,Low,Low,118.1818182,Medium,Low,Medium
347,14,6,"",26,9,4,Wide,1,"",40,6,High Impact,19,7,1,MiddleOrder,2,No,11,EndOvers,16,Yes,1,Male,Franchaise,6,Medium,Low,Middle,288.8888889,High,High,10,Medium,Low,4,Low,Low,200,High,High,High
348,,2,"",38,14,6,Wide,1,"",32,6,High Impact,20,7,7,MiddleOrder,16,No,22,EndOvers,8,Yes,0,Male,Franchaise,6,High,Medium,Middle,271.4285714,High,High,8,Medium,No Wickets,4,Low,Low,228.5714286,High,High,Medium
349,6,1,"",4,3,1,Wide,2,"",10,4,High Impact,1,1,5,Frontline,10,Yes,,PowerPlay,10,No,0,Male,Franchaise,4,Low,Low,Low,133.3333333,Medium,Low,10,Medium,No Wickets,1,Low,Low,200,High,,Medium
350,4,2,"",18,11,4,Wide,2,"",34,0,No Impact,3,1,17,Frontline,40,Yes,6,PowerPlay,20,No,0,Male,Franchaise,0,Medium,Medium,Low,163.6363636,Medium,High,17,High,No Wickets,2,Low,Low,235.2941176,High,Low,High
351,5,6,"",25,14,4,Wide,2,"",12,0,No Impact,8,2,26,Frontline,48,No,5,MiddleOvers,12,No,0,Male,Franchaise,0,Medium,Medium,Middle,178.5714286,High,Medium,12,High,No Wickets,1,Low,Medium,184.6153846,High,Low,High
352,6,6,"",19,14,3,Wide,2,"",26,1,Less Impact,17,5,8,Tailend,13,No,11,EndOvers,7,No,0,Male,Franchaise,1,Medium,Medium,Low,135.7142857,Medium,Medium,8.666666667,Medium,No Wickets,3,Low,Low,162.5,Medium,High,Medium
353,8,6,"",56,31,9,Wide,1,"",33,1,Less Impact,16,4,59,Tailend,93,No,8,EndOvers,13,No,0,Female,Franchaise,1,High,Medium,High,180.6451613,High,High,11,High,No Wickets,3,High,High,157.6271186,Medium,Medium,High
354,9,3,"",7,6,1,Wide,2,"",10,0,No Impact,4,3,7,Frontline,11,Yes,5,PowerPlay,11,No,0,Female,Franchaise,0,Low,Low,Low,116.6666667,Medium,Low,10,Medium,No Wickets,1,Low,Low,157.1428571,Medium,Low,High
355,12,3,"",6,6,0,Wide,2,"",29,0,No Impact,18,6,17,Tailend,30,No,11,EndOvers,11,No,1,Female,Franchaise,0,Low,Low,Low,100,Low,Medium,7.25,Medium,Low,4,Low,Low,176.4705882,High,High,High
356,9,4,"",26,11,6,Wide,2,"",16,1,Less Impact,4,1,23,Frontline,49,Yes,11,PowerPlay,16,No,0,Female,Franchaise,1,High,Medium,Middle,236.3636364,High,Medium,16,High,No Wickets,1,Low,Medium,213.0434783,High,High,High
357,22,5,"",23,17,4,Wide,2,"",14,6,High Impact,6,2,8,Frontline,5,Yes,9,PowerPlay,2,No,0,Female,Franchaise,6,Medium,Medium,Middle,135.2941176,Medium,Medium,7,Medium,No Wickets,2,Low,Low,62.5,Low,Medium,Low
358,5,1,"",20,17,3,Wide,1,"",12,0,No Impact,5,2,26,Frontline,26,Yes,7,PowerPlay,11,No,0,Female,Franchaise,0,Medium,Medium,Low,117.6470588,Medium,Medium,6,Low,No Wickets,2,Low,Low,100,Low,Medium,High
359,7,3,"",4,4,0,Wide,1,"",18,1,Less Impact,13,4,11,Tailend,9,No,3,MiddleOvers,6,No,0,Female,Franchaise,1,Low,Low,Low,100,Low,Medium,6,Low,No Wickets,3,Low,Low,81.81818182,Low,Low,Low
360,,4,"",2,4,0,Wide,1,"",24,W,Negative,20,9,4,MiddleOrder,6,No,11,EndOvers,6,Yes,1,Female,Franchaise,-1,Low,Low,Low,50,Low,Medium,6,Low,Low,4,Low,Low,150,Medium,High,Low
361,6,6,"",0,1,0,Wide,2,"",18,0,No Impact,9,4,2,Tailend,1,No,2,MiddleOvers,9,Yes,1,Female,Franchaise,0,Low,Low,Low,0,Low,Medium,9,Medium,Low,2,Low,Low,50,Low,Low,Medium
362,9,2,"",27,23,3,Wide,2,"",5,W,Negative,16,6,0,Tailend,0,No,7,EndOvers,5,Yes,1,Female,Franchaise,-1,Medium,Medium,Middle,117.3913043,Medium,Low,5,Low,Low,1,Low,Low,NaN,Low,Medium,Low
363,8,6,"",8,4,2,Wide,1,"",10,0,No Impact,2,1,11,Frontline,17,Yes,7,PowerPlay,10,No,0,Female,Franchaise,0,Medium,Low,Low,200,High,Low,10,Medium,No Wickets,1,Low,Low,154.5454545,Medium,Medium,Medium
364,1,5,"",1,1,0,Wide,1,"",6,0,No Impact,5,2,4,Frontline,7,Yes,5,PowerPlay,7,Yes,1,Female,Franchaise,0,Low,Low,Low,100,Low,Low,6,Low,Low,1,Low,Low,175,Medium,Low,Medium
365,3,3,"",11,22,1,Wide,1,"",18,W,Negative,12,4,11,Tailend,8,No,6,MiddleOvers,2,No,1,Female,Franchaise,-1,Low,Medium,Low,50,Low,Medium,6,Low,Low,3,Low,Low,72.72727273,Low,Low,Low
366,4,4,"",16,13,3,Wide,1,"",19,1,Less Impact,14,4,11,Tailend,16,No,3,MiddleOvers,13,No,0,Female,Franchaise,1,Medium,Medium,Low,123.0769231,Medium,Medium,9.5,Medium,No Wickets,2,Low,Low,145.4545455,Medium,Low,High
367,11,3,"",11,11,2,Wide,2,"",11,1,Less Impact,4,1,23,Frontline,45,Yes,6,PowerPlay,11,No,0,Female,Franchaise,1,Medium,Medium,Low,100,Low,Medium,11,High,No Wickets,1,Low,Medium,195.6521739,High,Low,High
368,10,6,"",0,0,0,Wide,2,"",19,0,No Impact,5,2,0,Frontline,1,Yes,12,PowerPlay,11,Yes,1,Female,Franchaise,0,Low,Low,Low,NaN,Low,Medium,9.5,Medium,Low,2,Low,Low,Infinity,High,High,High
369,2,4,"",9,17,1,Wide,2,"",22,4,High Impact,13,4,36,Tailend,38,No,8,MiddleOvers,3,No,1,Female,Franchaise,4,Low,Medium,Low,52.94117647,Low,Medium,7.333333333,Medium,Low,3,Medium,Low,105.5555556,Medium,Medium,Low
370,6,2,"",33,28,5,Wide,2,"",30,1,Less Impact,16,4,,Tailend,58,No,3,EndOvers,12,No,0,Female,Franchaise,1,Medium,Medium,Middle,117.8571429,Medium,Medium,10,Medium,No Wickets,3,,Medium,,,Low,High
371,6,6,"",24,28,3,Wide,2,"",21,4,High Impact,17,5,3,Tailend,2,No,13,EndOvers,2,Yes,1,Female,Franchaise,4,Medium,Medium,Middle,85.71428571,Low,Medium,5.25,Low,Low,4,Low,Low,66.66666667,Low,High,Low
372,9,2,"",1,1,0,Wide,1,"",9,4,High Impact,5,2,3,Frontline,2,Yes,7,PowerPlay,3,Yes,1,Female,Franchaise,4,Low,Low,Low,100,Low,Low,4.5,Low,Low,2,Low,Low,66.66666667,Low,Medium,Low
373,7,4,"",6,3,1,Wide,1,"",20,1,Less Impact,6,2,9,Frontline,14,Yes,7,PowerPlay,8,No,0,Female,Franchaise,1,Low,Low,Low,200,High,Medium,10,Medium,No Wickets,2,Low,Low,155.5555556,Medium,Medium,Medium
374,9,1,"",25,24,3,Wide,1,"",7,1,Less Impact,9,2,27,Frontline,37,No,8,MiddleOvers,7,No,0,Female,Franchaise,1,Medium,Medium,Middle,104.1666667,Medium,Low,7,Medium,No Wickets,1,Low,Low,137.037037,Medium,Medium,Medium
375,8,4,"",0,3,0,Wide,2,"",15,0,No Impact,15,9,6,MiddleOrder,2,No,8,EndOvers,2,No,4,Female,Franchaise,0,Low,Low,Low,0,Low,Medium,3.75,Low,Middle,4,Low,Low,33.33333333,Low,Medium,Low
376,2,6,"",4,9,0,Wide,2,"",20,1,Less Impact,16,9,12,MiddleOrder,9,No,2,EndOvers,7,No,1,Female,Franchaise,1,Low,Low,Low,44.44444444,Low,Medium,6.666666667,Medium,Low,3,Low,Low,75,Low,Low,Medium
377,,5,"",6,7,1,Wide,1,"",13,1,Less Impact,20,10,12,MiddleOrder,12,No,6,EndOvers,4,No,2,Male,International,1,Low,Low,Low,85.71428571,Low,Medium,3.25,Low,Low,4,Low,Low,100,Low,Low,Low
378,4,6,"",6,5,1,Wide,2,"",8,0,No Impact,11,5,7,Tailend,8,No,8,MiddleOvers,3,No,2,Male,International,0,Low,Low,Low,120,Medium,Low,2.666666667,Low,Low,3,Low,Low,114.2857143,Medium,Medium,Low
379,6,5,"",4,5,1,Wide,2,"",5,4,High Impact,1,1,5,Frontline,5,Yes,,PowerPlay,5,No,0,Female,Franchaise,4,Low,Low,Low,80,Low,Low,5,Low,No Wickets,1,Low,Low,100,Low,,Low
380,7,5,"",8,7,2,Wide,2,"",6,0,No Impact,2,2,2,Frontline,2,Yes,9,PowerPlay,6,Yes,1,Female,Franchaise,0,Medium,Low,Low,114.2857143,Medium,Low,6,Low,Low,1,Low,Low,100,Low,Medium,Low
381,12,3,"",17,20,2,Wide,2,"",18,0,No Impact,11,3,41,Frontline,31,Yes,6,MiddleOvers,4,No,1,Female,Franchaise,0,Medium,Medium,Low,85,Low,Medium,6,Low,Low,3,Medium,Low,75.6097561,Low,Low,Low
382,2,6,"",6,12,0,Wide,1,"",7,0,No Impact,5,4,7,Tailend,13,Yes,6,PowerPlay,8,No,0,Male,International,0,Low,Medium,Low,50,Low,Low,7,Medium,No Wickets,1,Low,Low,185.7142857,High,Low,Medium
383,,4,"",31,24,3,No,1,"",25,W,Negative,20,6,53,Tailend,67,No,9,EndOvers,13,No,1,Male,International,-1,Medium,Medium,Middle,129.1666667,Medium,Medium,6.25,Medium,Low,4,High,Medium,126.4150943,Medium,Medium,High
384,7,4,"",23,18,3,Wide,2,"",14,1,Less Impact,5,2,5,Frontline,7,Yes,4,PowerPlay,7,No,0,Male,International,1,Medium,Medium,Middle,127.7777778,Medium,Medium,7,Medium,No Wickets,2,Low,Low,140,Medium,Low,Medium
385,6,6,"",1,1,0,Wide,2,"",22,2,Medium Impact,16,3,2,Frontline,7,No,5,EndOvers,8,Yes,0,Male,International,2,Low,Low,Low,100,Low,Medium,5.5,Low,No Wickets,4,Low,Low,350,High,Low,Medium
386,5,6,"",18,7,4,Wide,1,"",26,1,Less Impact,3,2,13,Frontline,24,Yes,1,PowerPlay,16,No,1,Male,International,1,Medium,Low,Low,257.1428571,High,Medium,13,High,Low,2,Low,Low,184.6153846,High,Low,High
387,19,3,"",43,22,8,Wide,1,"",21,1,Less Impact,9,2,49,Frontline,90,No,14,MiddleOvers,20,No,0,Male,International,1,High,Medium,Middle,195.4545455,High,Medium,10.5,High,No Wickets,2,Medium,High,183.6734694,High,High,High
388,18,2,"",15,7,2,Wide,1,"",50,2,Medium Impact,17,5,17,Tailend,36,No,16,EndOvers,9,No,3,Male,International,2,Medium,Low,Low,214.2857143,High,High,12.5,High,,4,Low,Low,211.7647059,High,High,Medium
389,10,6,"",33,11,8,Wide,2,"",12,2,Medium Impact,5,1,29,Frontline,90,Yes,16,PowerPlay,12,No,0,Male,International,2,High,Medium,Middle,300,High,Medium,12,High,No Wickets,1,Low,High,310.3448276,High,High,High
390,24,5,"",0,0,0,Wide,2,"",14,4,High Impact,11,2,0,Frontline,0,No,11,MiddleOvers,3,Yes,1,Male,International,4,Low,Low,Low,NaN,Low,Medium,7,Medium,Low,2,Low,Low,NaN,Low,High,Low
391,16,5,"",16,3,3,Wide,2,"",36,W,Negative,12,2,6,Frontline,28,No,7,MiddleOvers,24,No,0,Male,International,-1,Medium,Low,Low,533.3333333,High,High,18,High,No Wickets,2,Low,Low,466.6666667,High,Medium,High
392,8,2,"",2,1,0,No,2,"",26,1,Less Impact,13,4,1,Tailend,2,No,24,MiddleOvers,15,Yes,1,Male,International,1,Low,Low,Low,200,High,Medium,13,High,Low,2,Low,Low,200,High,High,High
393,8,5,"",10,7,1,Wide,2,"",22,2,Medium Impact,15,4,13,Tailend,17,No,8,EndOvers,4,No,1,Male,International,2,Low,Low,Low,142.8571429,Medium,Medium,7.333333333,Medium,Low,3,Low,Low,130.7692308,Medium,Medium,Low
394,10,3,"",19,12,3,No,1,"",28,4,High Impact,18,6,19,Tailend,34,No,8,EndOvers,13,No,1,Male,International,4,Medium,Medium,Low,158.3333333,Medium,Medium,9.333333333,Medium,Low,3,Low,Low,178.9473684,High,Medium,High
395,14,6,"",3,11,0,Wide,2,"",15,1,Less Impact,3,1,17,Frontline,18,Yes,3,PowerPlay,13,No,0,Male,International,1,Low,Medium,Low,27.27272727,Low,Medium,7.5,Medium,No Wickets,2,Low,Low,105.8823529,Medium,Low,High
396,11,6,"",10,13,1,Wide,2,"",9,2,Medium Impact,9,4,13,Tailend,14,No,7,MiddleOvers,5,No,1,Male,International,2,Low,Medium,Low,76.92307692,Low,Low,4.5,Low,Low,2,Low,Low,107.6923077,Medium,Medium,Low
397,1,4,"",10,8,2,Wide,2,"",18,0,No Impact,13,8,7,MiddleOrder,9,No,1,MiddleOvers,9,No,2,Male,International,0,Medium,Low,Low,125,Medium,Medium,6,Low,Low,3,Low,Low,128.5714286,Medium,Low,Medium
398,9,5,"",17,8,3,No,1,"",22,0,No Impact,3,1,17,Frontline,38,Yes,13,PowerPlay,22,No,0,Male,International,0,Medium,Low,Low,212.5,High,Medium,22,High,No Wickets,1,Low,Low,223.5294118,High,High,High
399,19,4,"",27,19,4,Wide,1,"",14,0,No Impact,6,3,14,Frontline,21,Yes,9,PowerPlay,5,No,2,Male,International,0,Medium,Medium,Middle,142.1052632,Medium,Medium,7,Medium,Low,2,Low,Low,150,Medium,Medium,Low
400,10,5,"",20,15,2,Wide,1,"",38,0,No Impact,15,8,4,MiddleOrder,4,No,4,EndOvers,8,Yes,2,Male,International,0,Medium,Medium,Low,133.3333333,Medium,High,12.66666667,High,Low,3,Low,Low,100,Low,Low,Medium
401,9,3,"",6,7,0,Wide,1,"",35,1,Less Impact,17,9,7,MiddleOrder,6,No,10,EndOvers,4,No,2,Male,International,1,Low,Low,Low,85.71428571,Low,High,8.75,Medium,Low,4,Low,Low,85.71428571,Low,Medium,Low
402,9,5,"",37,18,7,Wide,2,"",8,1,Less Impact,9,2,27,Frontline,60,No,12,MiddleOvers,,No,0,Male,International,1,High,Medium,Middle,205.5555556,High,Low,8,Medium,No Wickets,1,Low,Medium,222.2222222,High,High,
403,8,6,"",11,9,1,Wide,2,"",31,0,No Impact,14,3,18,Frontline,36,No,17,MiddleOvers,9,No,1,Male,International,0,Low,Low,Low,122.2222222,Medium,High,10.33333333,High,Low,3,Low,Low,200,High,High,Medium
404,18,6,"",0,0,0,Wide,2,"",40,0,No Impact,19,7,0,MiddleOrder,1,No,13,EndOvers,9,Yes,5,Male,International,0,Low,Low,Low,NaN,Low,High,10,Medium,Middle,4,Low,Low,Infinity,High,High,Medium
405,3,5,"",7,9,1,Wide,1,"",21,4,High Impact,9,6,14,Tailend,16,No,5,MiddleOvers,5,No,1,Male,International,4,Low,Low,Low,77.77777778,Low,Medium,7,Medium,Low,3,Low,Low,114.2857143,Medium,Low,Low
406,5,1,"",7,10,0,Wide,1,"",14,1,Less Impact,14,8,24,MiddleOrder,28,No,5,MiddleOvers,8,No,1,Male,International,1,Low,Low,Low,70,Low,Medium,7,Medium,Low,2,Low,Low,116.6666667,Medium,Low,Medium
407,3,6,"",30,28,3,Wide,1,"",6,1,Less Impact,16,9,4,MiddleOrder,6,No,5,EndOvers,6,Yes,1,Male,International,1,Medium,Medium,Middle,107.1428571,Medium,Low,6,Low,Low,1,Low,Low,150,Medium,Low,Low
408,14,6,"",0,1,0,Wide,2,"",12,0,No Impact,3,2,1,Frontline,5,Yes,10,PowerPlay,7,Yes,1,Male,International,0,Low,Low,Low,0,Low,Medium,6,Low,Low,2,Low,Low,500,High,Medium,Medium
409,5,4,"",18,11,4,No,1,"",18,1,Less Impact,5,2,14,Frontline,31,Yes,15,PowerPlay,16,No,1,Male,Franchaise,1,Medium,Medium,Low,163.6363636,Medium,Medium,6,Low,Low,3,Low,Low,221.4285714,High,High,High
410,9,3,"",5,2,1,No,2,"",28,1,Less Impact,5,2,6,Frontline,18,Yes,12,PowerPlay,14,No,0,Male,Franchaise,1,Low,Low,Low,250,High,Medium,14,High,No Wickets,2,Low,Low,300,High,High,High
411,9,4,"",45,25,7,No,1,"",25,0,No Impact,9,2,41,Frontline,68,No,10,MiddleOvers,12,No,0,Male,Franchaise,0,High,Medium,Middle,180,High,Medium,12.5,High,No Wickets,2,Medium,Medium,165.8536585,Medium,Medium,High
412,8,3,"",3,3,0,Wide,1,"",30,6,High Impact,12,3,5,Frontline,6,No,9,MiddleOvers,6,No,0,Male,Franchaise,6,Low,Low,Low,100,Low,Medium,10,Medium,No Wickets,3,Low,Low,120,Medium,Medium,Low
413,4,1,"",5,8,0,Wide,1,"",20,6,High Impact,17,5,14,Tailend,15,No,10,EndOvers,5,No,1,Male,Franchaise,6,Low,Low,Low,62.5,Low,Medium,5,Low,Low,4,Low,Low,107.1428571,Medium,Medium,Low
414,4,4,"",6,5,1,Wide,2,"",7,4,High Impact,6,4,9,Tailend,13,Yes,6,PowerPlay,7,No,0,Male,Franchaise,4,Low,Low,Low,120,Medium,Low,7,Medium,No Wickets,1,Low,Low,144.4444444,Medium,Low,Medium
415,7,4,"",11,9,1,Wide,1,"",30,1,Less Impact,17,5,16,Tailend,31,No,4,EndOvers,18,No,1,Male,Franchaise,1,Low,Low,Low,122.2222222,Medium,Medium,10,Medium,Low,3,Low,Low,193.75,High,Low,High
416,14,5,"",27,17,4,Wide,1,"",33,1,Less Impact,18,5,22,Tailend,5,No,19,EndOvers,6,No,0,Male,Franchaise,1,Medium,Medium,Middle,158.8235294,Medium,High,8.25,Medium,No Wickets,4,Low,Low,22.72727273,Low,High,Low
417,16,6,"",4,2,1,Wide,1,"",23,1,Less Impact,19,6,2,Tailend,5,No,7,EndOvers,13,Yes,2,Male,Franchaise,1,Low,Low,Low,200,High,Medium,5.75,Low,Low,4,Low,Low,250,High,Medium,High
418,17,2,"",4,4,1,Wide,2,"",6,1,Less Impact,1,1,5,Frontline,6,Yes,,PowerPlay,6,No,0,Male,Franchaise,1,Low,Low,Low,100,Low,Low,6,Low,No Wickets,1,Low,Low,120,Medium,,Low
419,9,1,"",12,8,2,Wide,2,"",13,4,High Impact,2,1,11,Frontline,20,Yes,7,PowerPlay,13,No,0,Male,Franchaise,4,Medium,Low,Low,150,Medium,Medium,13,High,No Wickets,1,Low,Low,181.8181818,High,Medium,High
420,17,6,"",32,29,5,Wide,2,"",14,0,No Impact,9,4,11,Tailend,10,No,5,MiddleOvers,5,No,0,Male,Franchaise,0,Medium,Medium,Middle,110.3448276,Medium,Medium,7,Medium,No Wickets,2,Low,Low,90.90909091,Low,Low,Low
421,4,6,"",6,9,0,Wide,2,"",39,0,No Impact,19,8,17,MiddleOrder,26,No,14,EndOvers,8,No,0,Male,Franchaise,0,Low,Low,Low,66.66666667,Low,High,13,High,No Wickets,3,Low,Low,152.9411765,Medium,High,Medium
422,16,3,"",4,2,1,Wide,1,"",6,0,No Impact,1,2,4,Frontline,6,Yes,,PowerPlay,6,Yes,1,Male,International,0,Low,Low,Low,200,High,Low,6,Low,Low,1,Low,Low,150,Medium,,Low
423,7,6,"",14,8,2,Wide,1,"",29,1,Less Impact,5,3,9,Frontline,17,Yes,7,PowerPlay,13,No,0,Male,International,1,Medium,Low,Low,175,Medium,Medium,14.5,High,No Wickets,2,Low,Low,188.8888889,High,Medium,High
424,10,3,"",26,20,3,Wide,1,"",24,1,Less Impact,11,4,34,Tailend,40,No,5,MiddleOvers,10,No,0,Male,International,1,Medium,Medium,Middle,130,Medium,Medium,8,Medium,No Wickets,3,Medium,Low,117.6470588,Medium,Low,Medium
425,10,1,"",44,28,5,Wide,1,"",40,1,Less Impact,13,4,46,Tailend,63,No,10,MiddleOvers,12,No,1,Male,International,1,Medium,Medium,Middle,157.1428571,Medium,High,13.33333333,High,Low,3,Medium,Medium,136.9565217,Medium,Medium,High
426,8,2,"",50,34,6,No,2,"",39,6,High Impact,12,4,25,Tailend,44,No,11,MiddleOvers,18,No,1,Male,International,6,High,Medium,Middle,147.0588235,Medium,High,13,High,Low,3,Low,Medium,176,High,High,High
427,,2,"",6,3,1,Wide,S1,"",8,W,Negative,SO,2,3,Frontline,6,SO,,SuperOver,8,Yes,1,Male,International,-1,Low,Low,Low,200,High,Low,8,Medium,Low,1,Low,Low,200,High,,Medium
428,14,2,"",0,2,0,Wide,1,"",6,0,No Impact,1,1,5,Frontline,6,Yes,,PowerPlay,6,No,0,Male,Franchaise,0,Low,Low,Low,0,Low,Low,6,Low,No Wickets,1,Low,Low,120,Medium,,Low
429,10,5,"",40,22,5,Wide,1,"",31,1,Less Impact,15,4,4,Tailend,8,No,10,EndOvers,8,Yes,1,Male,Franchaise,1,Medium,Medium,Middle,181.8181818,High,High,10.33333333,High,Low,3,Low,Low,200,High,Medium,Medium
